Canada,
Lat,Lon
60.159154,-76.7589
60.1586,-76.818473
60.145545,-76.854236
60.121309,-76.859509
60.1125,-76.889727
60.111663,-76.924436
60.112909,-76.956673
60.121936,-77.003891
60.129718,-77.031391
60.140682,-77.064864
60.146945,-77.111936
60.150273,-77.173891
60.144018,-77.195482
60.053882,-77.2325
60.039991,-77.272782
60.030545,-77.315827
60.044154,-77.519164
60.050409,-77.548755
60.064154,-77.592227
60.112145,-77.594373
60.127909,-77.553609
60.1561,-77.496946
60.215127,-77.471946
60.329991,-77.602782
60.364436,-77.646327
60.3702,-77.691736
60.397927,-77.745546
60.426245,-77.738882
60.447209,-77.719455
60.466663,-77.691936
60.529718,-77.567509
60.540554,-77.48
60.547945,-77.430027
60.561936,-77.464446
60.566382,-77.486118
60.570273,-77.521664
60.571382,-77.549436
60.570545,-77.573627
60.563609,-77.598618
60.550754,-77.638746
60.550973,-77.675555
60.561663,-77.704455
60.596654,-77.787218
60.642418,-77.829173
60.671109,-77.775836
60.693182,-77.719455
60.755554,-77.61
60.832836,-77.518927
60.828327,-77.571673
60.795545,-77.708055
60.764445,-77.856382
60.791382,-77.920546
60.8211,-77.895482
60.822773,-77.975282
60.8061,-78.078609
60.7968,-78.121382
60.787945,-78.179927
60.860963,-78.165555
61.000827,-77.954727
61.018882,-77.925555
61.038045,-77.889173
61.050336,-77.858046
61.217491,-77.701673
61.254436,-77.724446
61.298609,-77.739991
61.337491,-77.746655
61.410273,-77.761127
61.461109,-77.678882
61.462491,-77.620836
61.467354,-77.562082
61.483673,-77.545627
61.504163,-77.613891
61.555827,-77.596118
61.55,-77.572782
61.539718,-77.517227
61.541518,-77.477146
