USA,
Lat,Lon
29.326109,-90.444446
29.289718,-90.524446
29.233327,-90.589718
29.158054,-90.647227
29.129718,-90.678609
29.115827,-90.702018
29.109436,-90.765018
29.128745,-90.878327
29.150827,-90.912218
29.1643,-90.93
29.219236,-90.998891
29.213118,-91.035346
29.194164,-91.048327
29.194854,-91.077646
29.202218,-91.096955
29.226936,-91.194718
29.231664,-91.219455
29.2443,-91.254864
29.255836,-91.277918
29.271382,-91.299436
29.295273,-91.322236
29.324718,-91.339309
29.360554,-91.223327
29.329791,-91.162146
29.293191,-91.163055
29.273609,-91.173473
29.249436,-91.149236
29.2625,-91.117709
29.325418,-91.114436
29.347354,-91.126527
29.466936,-91.267227
29.540273,-91.415009
29.532218,-91.523055
29.542773,-91.543336
29.586109,-91.5511
29.630482,-91.557146
29.739027,-91.631036
29.7486,-91.664173
29.795554,-91.8239
29.828264,-91.838818
29.836109,-91.899173
29.768891,-92.148618
29.690273,-92.175827
29.615554,-92.099727
29.59,-92.137218
29.540973,-92.2732
29.539718,-92.308336
29.542218,-92.337218
29.575827,-92.570009
29.600273,-92.687773
29.620691,-92.751109
29.643891,-92.813609
29.663054,-92.855273
29.693327,-92.905564
29.739164,-93.037509
29.763609,-93.118327
29.769445,-93.144727
29.785,-93.240827
29.786945,-93.272227
29.786664,-93.299991
29.763882,-93.667773
29.759164,-93.719309
29.75,-93.75
29.727354,-93.794027
29.708191,-93.823473
29.708818,-93.850491
29.745273,-93.885555
29.791109,-93.900982
29.817564,-93.892009
29.830691,-93.862082
29.833882,-93.811864
29.900409,-93.773064
29.976282,-93.768027
29.994854,-93.789727
29.994164,-93.796664
29.985136,-93.852009
29.816664,-93.958473
29.786318,-93.947491
29.765554,-93.914718
29.740409,-93.8907
29.681627,-93.858436
29.672145,-93.890909
29.681518,-93.920273
29.679164,-94.036391
29.674164,-94.068346
29.653609,-94.1343
29.584164,-94.317509
29.5275,-94.458891
29.461936,-94.62
29.447082,-94.653609
29.429164,-94.683609
29.409436,-94.708064
29.380691,-94.733746
29.367909,-94.754173
29.373536,-94.786946
29.397218,-94.781109
29.467491,-94.692082
29.494436,-94.612209
29.516527,-94.515418
29.558882,-94.476591
29.573191,-94.574027
29.552773,-94.675555
29.568054,-94.765836
29.612909,-94.730418
29.633745,-94.722082
29.653327,-94.717227
29.711109,-94.706664
29.7568,-94.711046
29.785,-94.757018
29.761945,-94.824309
29.749164,-94.840564
29.695827,-94.955555
29.716518,-95.007091
29.715064,-95.060064
29.565554,-95.015836
29.4209,-94.897991
29.385273,-94.887509
29.337773,-94.8939
29.314445,-94.902791
29.181936,-95.086946
29.051245,-95.148609
28.931527,-95.303191
28.912773,-95.331955
28.896109,-95.359727
28.755554,-95.618327
28.738136,-95.689891
28.7373,-95.745673
28.736936,-95.797227
28.686418,-95.941109
28.626318,-95.941518
28.64,-95.896118
28.650273,-95.8761
28.668191,-95.847782
28.680827,-95.816982
28.692491,-95.765509
28.648327,-95.827227
28.635273,-95.858046
28.621382,-95.895555
28.610273,-95.929446
28.603609,-95.951673
28.598473,-95.979027
28.590273,-96.000564
28.573609,-96.036118
28.560827,-96.059436
28.5575,-96.064164
28.521945,-96.1311
28.510554,-96.156391
28.488118,-96.212009
28.509791,-96.195618
28.538327,-96.146664
28.573882,-96.072364
28.584445,-96.045836
